Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,251.80366,-1.953678,251.803604,-1.953607,225,12,226.011,13.28,1,4048.45,1,142.716,D.N.,-9.0182,0.0383,2,B,19.329066,14.274666,24.304115,14.111352,27.953707,0,13.824541,12.807808,5,5,5,0,8,15,79.04,0,480,4.84,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
2,251.799168,-1.953678,251.799142,-1.953633,306,12,306.473,12.824,1,1692.64,1,73.7069,D.N.,-8.0714,0.0473,2,B,14.00683,12.113345,16.496021,11.412874,18.219583,0,7.743466,6.122133,5,5,5,0,8,15,79.04,0,473,4.15,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
3,251.760621,-1.953623,251.784509,-1.953565,570,13,570.353,14.052,1,971.523,1,36.7087,D.N.,-7.4686,0.041,2,B,8.547476,8.183686,8.918499,7.936146,9.263402,0,2.506755,1.948194,5,5,5,0,8,15,79.04,0,490,4.78,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
4,251.770055,-1.953623,251.769993,-1.953558,831,13,832.105,14.19,1,457.656,1,32.9559,D.N.,-6.6513,0.0782,2,B,8.064465,6.758383,9.182972,6.988471,10.05883,0,4.109447,2.518644,5,5,5,0,8,15,79.04,0,490,4.81,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
5,251.769777,-1.953513,251.769993,-1.953558,836,15,832.104,14.19,1,457.617,1,32.9554,D.N.,-6.6513,0.0782,2,B,8.064465,6.758383,9.182972,6.965977,10.05883,0,4.109447,2.518644,5,5,5,0,8,15,79.04,0,490,4.72,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
6,251.766395,-1.953623,251.766364,-1.953607,897,13,897.552,13.296,1,308.706,1,25.6638,D.N.,-6.2239,0.0903,2,B,8.021909,7.117584,8.416377,6.985144,8.744608,0,2.375826,1.875068,5,5,5,0,8,15,79.04,0,479,4.58,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
7,251.762125,-1.953568,251.762133,-1.953509,974,14,973.855,15.067,1,928.429,1,33.7574,D.N.,-7.4194,0.0395,2,B,6.981759,5.849971,6.915011,6.332079,7.054023,0,1.394865,1.4668,5,5,5,0,8,15,79.04,0,514,4.54,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
8,251.760627,-1.953734,251.784509,-1.953734,1001,11,1001.113,10.997,1,415.357,1,25.194,D.N.,-6.5461,0.0659,2,B,7.146755,6.608712,7.119927,6.211177,7.26808,0,1.461651,1.473124,5,5,5,0,8,15,79.04,0,445,3.75,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
9,251.759407,-1.953679,251.75938,-1.953593,1023,12,1023.488,13.548,1,138.518,1,22.5359,D.N.,-5.3538,0.1766,2,B,7.324229,6.27833,8.068982,6.091624,8.787379,0,3.483436,1.930875,5,5,5,0,8,15,79.04,0,490,4.92,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
10,251.758853,-1.953623,251.75882,-1.953608,1033,13,1033.593,13.282,1,928.021,1,35.2507,D.N.,-7.4189,0.0412,2,B,7.591902,6.245614,7.746944,6.088983,7.972738,0,1.885938,1.779766,5,5,5,0,8,15,79.04,0,484,4.29,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
