Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensityB,SourceIntensityV,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,251.803662,-1.953681,251.803621,-1.953633,225,12,225.74,12.872,1,4048.45,16301.1,1,417.742,D.N.,-10.5305,0.0278,2,B,43.647095,22.503784,59.942854,29.902069,75.375061,0,45.745294,39.861088,5,5,5,0,8,15,79.04,0,478,3.73,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2,251.79917,-1.953682,251.799148,-1.953657,306,12,306.405,12.439,1,1692.64,8048.89,1,211.281,D.N.,-9.7643,0.0285,2,B,27.605402,20.153803,39.717787,19.111019,50.652523,0,31.47009,19.057299,5,5,5,0,8,15,79.04,0,452,3.37,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
3,251.78453,-1.953626,251.784528,-1.953589,570,13,570.035,13.684,1,971.523,3349.4,1,68.9445,D.N.,-8.8124,0.0223,2,B,14.21625,13.785051,16.139329,13.56754,17.490944,0,6.748951,3.763746,5,5,5,0,8,15,79.04,0,489,3.55,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
4,251.770055,-1.953627,251.770005,-1.953587,831,13,831.904,13.712,1,457.656,1859.38,1,68.8678,D.N.,-8.1734,0.0402,2,B,12.628648,11.711892,17.062682,10.891049,21.250664,0,12.680105,5.392713,5,5,5,0,8,15,79.04,0,488,3.52,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
5,251.769778,-1.953516,251.770004,-1.953588,836,15,831.917,13.697,1,457.617,1858.54,1,68.8617,D.N.,-8.1729,0.0402,2,B,12.628648,11.711892,17.062682,10.851204,21.250664,0,12.680105,5.392713,5,5,5,0,8,15,79.04,0,488,3.32,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
6,251.766395,-1.953627,251.766365,-1.95364,897,13,897.534,12.756,1,308.706,1227.46,1,47.5297,D.N.,-7.7225,0.042,2,B,12.21299,11.384855,14.48294,10.76285,16.431079,0,7.768611,3.218101,5,5,5,0,8,15,79.04,0,477,3.34,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
7,251.78453,-1.953571,251.762139,-1.953532,974,14,973.75,14.699,1,928.429,3170.63,1,58.4321,D.N.,-8.7529,0.02,2,B,10.38378,10.469585,10.403961,10.240717,10.5211,0,1.567134,1.576101,5,5,5,0,8,15,79.04,0,515,3.48,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
8,251.760627,-1.953737,251.760629,-1.953771,1001,11,1000.974,10.396,1,415.357,1560.13,1,43.4524,D.N.,-7.9829,0.0302,2,B,10.799436,11.06036,10.87122,9.880028,11.063193,0,2.054463,1.79061,5,5,5,0,8,15,79.04,0,422,3.33,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
9,251.759407,-1.953682,251.759395,-1.953648,1023,12,1023.22,12.606,1,138.518,481.322,1,45.6133,D.N.,-6.7061,0.1029,2,B,11.389093,11.555112,14.541513,9.556317,18.097296,0,10.784287,4.005957,5,5,5,0,8,15,79.04,0,476,24.68,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
10,251.758853,-1.953627,251.75883,-1.953636,1033,13,1033.417,12.827,1,928.021,3188.1,1,61.8147,D.N.,-8.7588,0.0211,2,B,11.318274,10.266521,12.45101,9.526129,13.098264,0,4.070887,2.516887,5,5,5,0,8,15,79.04,0,470,3.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
11,251.757688,-1.953682,251.757693,-1.953688,1054,12,1053.907,11.891,1,2190.47,9369.25,1,99.8274,D.N.,-9.9293,0.0116,2,B,11.259109,10.468268,11.995509,9.532772,12.486825,0,3.471971,2.438992,5,5,5,0,8,15,79.04,0,463,3.08,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
12,251.754749,-1.953737,251.754747,-1.953703,1107,11,1107.031,11.615,1,522.93,1838.84,1,48.8718,D.N.,-8.1614,0.0289,2,B,10.621409,9.490454,11.337712,9.466734,11.86866,0,3.513986,2.341086,5,5,5,0,8,15,79.04,0,462,3.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
13,251.738833,-1.953737,251.738812,-1.953712,1394,11,1394.373,11.451,1,542.947,2074.22,1,49.2195,D.N.,-8.2921,0.0258,2,B,10.26035,10.338821,10.882029,8.621586,11.490737,0,3.694572,1.851635,5,5,5,0,8,15,79.04,0,435,3.37,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
14,251.736781,-1.953571,251.736808,-1.953547,1431,14,1430.499,14.439,1,145.239,723.595,1,31.0606,D.N.,-7.1487,0.0466,2,B,9.894309,9.737778,9.907926,8.836332,10.045121,0,1.656183,1.563711,5,5,5,0,8,15,79.04,0,501,3.48,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
15,251.727297,-1.953682,251.727274,-1.953676,1602,12,1602.417,12.097,1,172.981,626.942,1,29.2413,D.N.,-6.9931,0.0506,2,B,9.667954,9.609775,9.689262,8.937476,9.805692,0,1.508195,1.510266,5,5,5,0,8,15,79.04,0,468,3.64,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
16,251.7827,-1.95346,251.782731,-1.953456,603,16,602.432,16.08,1,3793.4,16006.2,1,130.843,D.N.,-10.5107,0.0089,2,B,14.896271,13.818012,16.839168,13.388959,18.072301,0,6.567896,3.357792,5,5,5,0,8,15,79.04,0,497,3.74,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
17,251.806435,-1.953515,251.806444,-1.953525,175,15,174.852,14.831,1,3626.98,15597.6,1,808.913,D.N.,-10.4826,0.0563,2,B,74.83744,38.007883,163.818629,38.998497,325.87996,0,281.992779,80.475592,5,5,5,0,8,15,79.04,0,501,3.92,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
18,251.781646,-1.953516,251.781639,-1.953478,622,15,622.116,15.682,1,1279.51,4866.62,1,89.1792,D.N.,-9.2181,0.0199,2,B,15.720622,14.283185,19.169326,13.275713,21.60099,0,9.966823,5.595085,5,5,5,0,8,15,79.04,0,502,3.45,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
19,251.771109,-1.953571,251.771027,-1.953503,812,14,813.485,15.237,1,154.234,755.111,1,35.2368,D.N.,-7.195,0.0507,2,B,11.906483,11.942252,12.550382,11.055522,13.031358,0,3.511265,2.219685,5,5,5,0,8,15,79.04,0,498,3.11,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
20,251.770942,-1.95346,251.771025,-1.953502,815,16,813.506,15.249,1,154.234,755.416,1,35.311,D.N.,-7.1955,0.0507,2,B,11.887989,12.032055,12.603242,11.013855,13.103558,0,3.589903,2.230913,5,5,5,0,8,15,79.04,0,498,3.84,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
21,251.790131,-1.953238,251.79014,-1.953234,469,20,468.827,20.082,1,40163.4,96423.7,1,325.414,D.N.,-12.4605,0.0037,2,B,26.461878,21.499066,29.812175,16.11931,31.851074,0,11.223975,9.795187,5,5,5,0,8,15,79.04,0,499,3.09,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
22,251.717592,-1.953238,251.7176,-1.953243,1777,20,1776.862,19.908,1,804.671,2898.7,1,56.027,D.N.,-8.6555,0.021,2,B,9.404504,9.238738,9.392391,8.856816,9.510101,0,1.49309,1.565503,5,5,5,0,8,15,79.04,0,516,3.3,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
23,251.779649,-1.953405,251.779921,-1.953246,658,17,653.105,19.87,1,1194.99,4295.05,1,74.5111,D.N.,-9.0824,0.0188,2,B,13.844953,13.156735,16.676065,12.97592,19.100506,0,9.322605,3.571208,5,5,5,0,8,15,79.04,0,503,9.99,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
24,251.764565,-1.953294,251.764518,-1.95329,930,19,930.839,19.067,1,707.084,2572.56,1,54.2761,D.N.,-8.5259,0.0229,2,B,10.93184,9.677545,11.233812,10.492905,11.495348,0,2.440563,1.946359,5,5,5,0,8,15,79.04,0,503,3.69,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
25,251.752586,-1.953349,251.75254,-1.953353,1146,18,1146.834,17.945,1,82.3476,466.068,1,26.5033,D.N.,-6.6711,0.0617,2,B,9.697434,9.061823,9.658131,9.312796,9.775327,0,1.510615,1.552248,5,5,5,0,8,15,79.04,0,515,2.87,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
26,251.752309,-1.953294,251.752535,-1.953353,1151,19,1146.916,17.936,1,82.167,470.661,1,26.5898,D.N.,-6.6818,0.0613,2,B,9.697434,9.061823,9.658131,9.293686,9.775327,0,1.510615,1.552248,5,5,5,0,8,15,79.04,0,515,2.76,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
27,251.802331,-1.953294,251.80227,-1.953292,249,19,250.116,19.036,1,2377.79,8292.31,1,237.957,D.N.,-9.7967,0.0312,2,B,29.508263,19.619605,39.133931,23.445839,45.43288,0,23.102745,22.158586,5,5,5,0,8,15,79.04,0,506,3.98,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
28,251.779982,-1.953239,251.779924,-1.953245,652,20,653.05,19.878,1,1184.65,4265.29,1,74.3111,D.N.,-9.0749,0.0189,2,B,13.844953,13.156735,16.676065,13.036448,19.100506,0,9.322605,3.571208,5,5,5,0,8,15,79.04,0,503,3.55,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
29,251.738999,-1.953239,251.738991,-1.953223,1391,20,1391.15,20.272,1,344.964,1239.29,1,39.792,D.N.,-7.7329,0.0349,2,B,9.959462,10.342324,11.089253,8.674386,12.454979,0,5.676158,1.869362,5,5,5,0,8,15,79.04,0,505,3.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
30,251.800834,-1.953238,251.800798,-1.953242,276,20,276.653,19.922,1,1840.21,7661.89,1,164.831,D.N.,-9.7108,0.0234,2,B,24.984991,21.207976,32.754787,20.572041,39.190407,0,21.53909,14.072029,5,5,5,0,8,15,79.04,0,504,3.3,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
31,251.794124,-1.953294,251.794136,-1.953276,397,19,396.771,19.313,1,1160.78,4837.24,1,225.578,D.N.,-9.2115,0.0506,2,B,28.986912,17.067545,39.153364,16.885695,48.608791,0,28.835654,21.599085,5,5,5,0,8,15,79.04,0,499,0.73,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
32,251.768281,-1.953239,251.768238,-1.953239,863,20,863.758,20,1,210.952,886.724,1,36.1251,D.N.,-7.3695,0.0442,2,B,10.990583,10.427389,12.010818,10.722262,12.728518,0,4.217923,2.05983,5,5,5,0,8,15,79.04,0,502,0.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
33,251.759296,-1.953239,251.759266,-1.953172,1025,20,1025.548,21.195,1,171.579,786.701,1,44.9381,D.N.,-7.2395,0.062,2,B,10.948179,10.179813,13.83551,9.501992,16.798794,0,9.53728,3.535371,5,5,5,0,8,15,79.04,0,501,3.3,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
34,251.759296,-1.953017,251.759269,-1.953171,1025,24,1025.494,21.215,1,171.579,786.496,1,43.9144,D.N.,-7.2392,0.0606,2,B,10.933764,9.783492,13.792745,9.489236,16.805887,0,9.611578,3.402748,5,5,5,0,8,15,79.04,0,501,4.23,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
35,251.74998,-1.953183,251.749981,-1.953166,1193,21,1192.969,21.314,1,206.446,832.449,1,33.8507,D.N.,-7.3009,0.0441,2,B,10.222332,8.847311,10.41291,9.18582,10.650086,0,2.237315,1.783353,5,5,5,0,8,15,79.04,0,503,3.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
36,251.805936,-1.953072,251.805943,-1.953046,184,23,183.877,23.466,1,38337.4,92413.3,1,816.611,D.N.,-12.4143,0.0096,2,B,79.072121,40.827844,117.620398,37.457409,158.00221,0,105.604507,76.347537,5,5,5,0,8,15,79.04,0,503,3.53,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
37,251.78758,-1.953183,251.787568,-1.953127,515,21,515.221,22.014,1,802.548,3001.72,1,65.6623,D.N.,-8.6934,0.0237,2,B,14.279701,13.674803,16.748867,13.746614,18.245534,0,7.244258,3.645678,5,5,5,0,8,15,79.04,0,503,3.62,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
38,251.766839,-1.953072,251.766801,-1.95309,889,23,889.687,22.685,1,677.046,883.623,1,46.9096,D.N.,-7.3657,0.0576,2,B,11.873013,11.021794,14.199817,10.578727,16.109887,0,7.616393,3.654062,5,5,5,0,8,15,79.04,0,501,12.44,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
39,251.73545,-1.952961,251.735434,-1.952974,1455,25,1455.283,24.763,1,371.654,1315.07,1,38.979,D.N.,-7.7974,0.0322,2,B,9.349239,9.383691,9.302028,9.10687,9.411349,0,1.431689,1.443132,5,5,5,0,8,15,79.04,0,515,3.49,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
40,251.779538,-1.953017,251.77956,-1.952989,660,24,659.608,24.502,1,766.808,2723.49,1,103.056,D.N.,-8.5878,0.0411,2,B,14.486011,12.980989,21.709613,12.941753,28.551189,0,18.561897,8.956922,5,5,5,0,8,15,79.04,0,506,3.46,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
41,251.769833,-1.952961,251.76981,-1.952941,835,25,835.424,25.371,1,361.489,1429.82,1,63.9239,D.N.,-7.8882,0.0485,2,B,12.560405,10.962474,15.747785,10.772453,18.120374,0,8.973048,5.190844,5,5,5,0,8,15,79.04,0,502,3.4,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
42,251.813756,-1.95285,251.813729,-1.952847,43,27,43.491,27.049,1,6705.94,29749.4,1,376.323,D.N.,-11.1837,0.0137,2,B,45.423306,36.778637,61.398905,27.626356,73.571097,0,40.572896,33.685561,5,5,5,0,8,15,79.04,0,502,3.55,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
43,251.76645,-1.952851,251.766418,-1.952853,896,27,896.582,26.95,1,677.046,2473.43,1,64.0019,D.N.,-8.4833,0.0281,2,B,11.333045,11.000388,13.436235,10.466294,14.643939,0,5.829257,4.057144,5,5,5,0,8,15,79.04,0,502,3.44,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
44,251.777486,-1.952795,251.77745,-1.952796,697,28,697.656,27.986,1,1117.77,4033.8,1,68.6587,D.N.,-9.0143,0.0185,2,B,12.47408,10.742762,14.172495,12.522957,15.574331,0,6.464022,2.626172,5,5,5,0,8,15,79.04,0,501,3.5,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
45,251.774381,-1.952795,251.774373,-1.952791,753,28,753.146,28.073,1,1132.08,4025.11,1,66.7818,D.N.,-9.0119,0.018,2,B,11.453935,10.270319,11.761591,11.627103,12.018662,0,2.474931,2.102257,5,5,5,0,8,15,79.04,0,508,3.15,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
46,251.712878,-1.952517,251.712878,-1.952524,1862,33,1862.001,32.889,1,15642.4,76398.2,1,279.818,D.N.,-12.2077,0.004,2,B,13.120074,10.702983,14.459685,8.976014,15.153746,0,4.538077,4.394254,5,5,5,0,8,15,79.04,0,507,3.24,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
47,251.809541,-1.952739,251.809115,-1.952193,119,29,126.686,38.852,1,65878.7,462040,1,951.993,D.N.,-14.1617,0.0022,2,B,78.580486,41.315889,108.174616,39.234722,135.248042,0,81.26155,67.127643,5,5,5,0,8,15,79.04,0,502,13.79,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
48,251.798117,-1.952684,251.798131,-1.952651,325,30,324.734,30.604,1,32245.6,72666.3,1,373.05,D.N.,-12.1533,0.0056,2,B,30.867748,29.085376,45.894565,18.341959,59.26938,0,37.541613,25.956119,5,5,5,0,8,15,79.04,0,499,3.55,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
49,251.797839,-1.952407,251.798135,-1.95265,330,35,324.674,30.607,1,32233.8,72664,1,373.047,D.N.,-12.1533,0.0056,2,B,30.867748,29.085376,45.894565,18.212151,59.26938,0,37.541613,25.956119,5,5,5,0,8,15,79.04,0,499,3.03,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
50,251.797562,-1.95213,251.797728,-1.952195,335,40,332.016,38.821,1,32245.6,10542.8,1,328.118,D.N.,-10.0574,0.0338,2,B,28.75417,19.625377,92.107025,18.081171,229.505681,0,210.421851,31.386212,5,5,5,0,8,15,79.04,0,502,3.96,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
51,251.791406,-1.952795,251.791425,-1.952764,446,28,445.656,28.551,1,1514.97,6600.17,1,142.847,D.N.,-9.5489,0.0235,2,B,24.348572,20.869427,30.766603,17.067736,35.397338,0,17.521499,11.826284,5,5,5,0,8,15,79.04,0,499,3.52,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
52,251.727852,-1.952795,251.72786,-1.952791,1592,28,1591.856,28.076,1,67.059,380.274,1,25.2726,D.N.,-6.4502,0.0722,2,B,9.072846,9.630637,9.087794,8.80394,9.222127,0,1.569844,1.623115,5,5,5,0,8,15,79.04,0,515,3.18,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
53,251.725135,-1.952739,251.725134,-1.952693,1641,29,1641.004,29.833,1,280.012,1083.82,1,36.3609,D.N.,-7.5874,0.0364,2,B,9.226902,9.796455,9.206185,8.769649,9.346726,0,1.616341,1.557709,5,5,5,0,8,15,79.04,0,512,3.78,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
54,251.805215,-1.952573,251.805209,-1.952562,197,32,197.111,32.2,1,22719.2,47098.2,1,1426.06,D.N.,-11.6825,0.0329,2,B,91.09182,48.432387,253.754785,34.571751,518.346065,0,452.439361,141.865596,5,5,5,0,8,15,79.04,0,499,3.31,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
55,251.797839,-1.95213,251.797723,-1.952196,330,40,332.096,38.801,1,32233.8,10537.2,1,328.11,D.N.,-10.0568,0.0338,2,B,28.75417,19.625377,92.107025,18.211184,229.505681,0,210.421851,31.386212,5,5,5,0,8,15,79.04,0,502,11.34,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
56,251.7507,-1.95274,251.750651,-1.952745,1180,29,1180.895,28.903,1,67.8705,321.91,1,24.9503,D.N.,-6.2693,0.0841,2,B,9.46862,9.074121,9.837549,9.233684,10.157061,0,2.530058,1.747196,5,5,5,0,8,15,79.04,0,505,3.75,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
57,251.781091,-1.952684,251.781063,-1.952678,632,30,632.518,30.11,1,797.76,3171.24,1,116.131,D.N.,-8.7531,0.0398,2,B,16.558908,13.812755,23.592259,13.205556,30.436048,0,19.248282,10.228792,5,5,5,0,8,15,79.04,0,502,3.4,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
58,251.768447,-1.952684,251.768439,-1.952646,860,30,860.133,30.684,1,297.532,1203.74,1,44.3197,D.N.,-7.7013,0.04,2,B,11.227579,10.422874,12.577368,10.59691,13.513977,0,4.948371,2.776286,5,5,5,0,8,15,79.04,0,500,3.46,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
59,251.775213,-1.952629,251.775227,-1.952631,738,31,737.746,30.97,1,276.861,1129.27,1,42.5922,D.N.,-7.632,0.0409,2,B,11.815169,11.267434,13.082818,11.865634,14.148105,0,5.391284,2.638677,5,5,5,0,8,15,79.04,0,508,3.22,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
60,251.755969,-1.952629,251.755939,-1.952594,1085,31,1085.532,31.623,1,100.074,530.876,1,33.1733,D.N.,-6.8125,0.0678,2,B,10.366781,9.625238,12.53001,9.529164,15.096887,0,8.429479,2.404114,5,5,5,0,8,15,79.04,0,503,24.68,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
